"","V1","V2","V3"
"1",0.505756825586123,0.31840287303188,0.505756825586123
"2",1,1,1
"3",1,1,1
"4",0.130851863820594,0.0482537100743656,0.26024614980524
"5",1,1,1
"6",0.156095482899723,0.0289616777327265,0.182751651777024
"7",0.000000000519367343895717,0.000000000000317666691742436,0.00737449684857531
"8",0.0309383737482711,0.00118093424286215,0.0788584346778789
"9",0.000197633730285766,0.00000508336499073461,0.0250347723097353
"10",0.0000036184271668171,0.0000132516873182735,0.169762443371613
"11",1,1,1
"12",0.0134619226948195,0.0612708444451982,1
"13",1,1,1
